ガアッタ,があった,148,435,17,-7.9624
ガアリ,があり,148,788,17,-7.1696
ガアリマス,があります,148,491,17,-7.7161
ガアル,がある,148,772,17,-6.6664
ガイ,買い,1285,1285,474,-7.3516
ガイイ,がいい,148,37,17,-7.5614
ガイヨウ,概要,1285,1285,59,-7.3344
ガイル,がいる,148,619,17,-8.1205
ガオオイ,が多い,148,19,17,-7.7444
ガカル,がかる,886,886,501,-7.9539
ガカル,掛る,886,886,460,-7.9627
ガカル,掛かる,886,886,471,-7.9638
ガキ,書き,1285,1285,59,-7.7213
ガキ,書き,1298,1298,59,-7.7213
ガシ,がし,148,610,17,-7.9332
ガスキ,が好き,148,1287,17,-7.9525
ガゾウ,画像,1285,1285,139,-7.9588
ガタ,がた,105,105,252,-6.0595
ガタイ,がたい,113,113,252,-6.5825
ガタイ,難い,113,113,48,-6.9187
ガタイ,難い,19,19,48,-7.0895
ガタウ,がたう,125,125,252,-5.0726
ガタカレ,がたかれ,123,123,252,-5.0349
ガタキ,がたき,115,115,252,-5.0349
ガタク,がたく,129,129,252,-6.2435
ガタク,難く,129,129,48,-7.1530
ガタシ,がたし,117,117,252,-5.8793
ガチ,がち,1299,1299,169,-5.8275
ガチ,勝ち,1285,1285,245,-7.7749
ガチ,勝ち,1299,1299,245,-7.7749
ガチ,勝ち,1298,1298,245,-7.7749
ガッコウ,学校,1285,1285,253,-7.4893
ガッタ,がった,105,105,150,-7.9591
ガッペイ,合併,1283,1283,494,-8.1819
ガテェ,がてぇ,113,113,252,-7.3761
ガテエ,がてえ,113,113,252,-6.5825
ガデ,が出,148,625,17,-8.0058
ガデキ,ができ,148,625,17,-8.0679
ガデキル,ができる,148,619,17,-8.0863
ガナイ,がない,148,20,17,-7.5588
ガヨイ,通い,1285,1285,364,-7.0894
ガヨイ,通い,1298,1298,364,-7.0894
ガヨイ,が良い,148,19,17,-8.1563
ガリ,がり,894,894,17,-3.7756
ガル,がる,886,886,17,-3.7189
ガレ,がれ,892,892,437,-3.8497
ガンバッテ,頑張って,786,307,17,-8.0393
ガンバリ,頑張り,788,788,17,-6.6292
ガンバル,頑張る,772,772,17,-6.5664
ガンバレ,頑張れ,784,784,17,-6.7228
